"No.","CVEGEO_MUN","NOM_MUN","Clave.de.Obra","Informe.de.Gobierno","Periodo","Región","Subclasificación","Rubro","Macrorregión","Ejercicio","Obra","Municipio","Localidad","Inversión","Avance","Habitantes.beneficiados","Ejecutora","Origen","Meta","Trabajos","X20","X21","name","POB1","POBS","loc_lim","municipios_original"
1126,13060,"Tenango de Doria",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","II Tulancingo de Bravo","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Macrorregión 3. Tulancingo",2022,"Reconstrucción carretera estatal Tenango de Doria - Huehuetla, subtramo: Santa María Temascalapa - Huehuetla tres tramos, municipios de Tenango de Doria y Huehuetla","Tenango de Doria","Varias",45404597.14,"1",17202,"DGCCE","Innovación 2024",7.34,"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de Tenango de Doria",NA,NA,"Municipio_1",17503,17503,"varias","Tenango de Doria"
1127,13060,"Tenango de Doria","2024/C251","3er. Informe JMS","septiembre 2024-agosto 2025","II Tulancingo de Bravo","Caminos Pavimentados","Infraestructura Carretera","Macrorregión 3. Tulancingo",2024,"Pavimentación de carpeta asfáltica C.M. San Nicolás - San Pablo El Grande, municipio de Tenango de Doria","Tenango de Doria","Varias",8795315.48,"1",NA,"DGCCE","Cartera SIPDUS 2024 sin of. de auto.",1.2,"Considera los trabajos de la operación de escarificación, disgregado,  suministro y aplicación de riego de liga con emulsión asfáltica.",2115,NA,"Municipio_1",17503,17503,"varias","Tenango de Doria"
1140,13061,"Tepeapulco",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","X Apan","Vivienda Asequible","Vivienda Asequible","Macrorregión 3. Tulancingo",2024,"Construcción de cuartos dormitorios en el municipio de Tepeapulco","Tepeapulco","Fray Bernardino De Sahagún (Ciudad Sahagún), Los Cides",661904.06,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",20,NA,"Municipio_1",56245,56245,"fray bernardino de sahagun (ciudad sahagun), los cides","Tepeapulco"
1146,13061,"Tepeapulco",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","X Apan","Vivienda Asequible","Vivienda Asequible","Macrorregión 3. Tulancingo",2023,"Programa para la ampliación de  vivienda modalidad construcción de cuarto dormitorio en los municipios de Tepeapulco, Tulancingo de Bravo  y Zapotlán","Tepeapulco","Acayuca,Fray Bernardino de Sahagén (Ciudad Sahagén),Los Reyes,San Pedro Huaquilpan,Santa Ana Hueytlalpan,Tepeapulco,Tulancingo,Zapotlán de Juárez",875230.528097351,"1",NA,"CEVI","CEVI 2023 2do. Informe",NA,"Modalidad ampliación de vivienda para la construcción de cuarto dormitorio en terreno del beneficiario.",120,NA,"Municipio_1",56245,246057,"acayuca,fray bernardino de sahagen (ciudad sahagen),los reyes,san pedro huaquilpan,santa ana hueytlalpan,tepeapulco,tulancingo,zapotlan de juarez","Tepeapulco,Tulancingo de Bravo,Zapotlán de Juárez"
1147,13062,"Tepehuacán de Guerrero",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","IX Zacualtipán de Ángeles","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2024,"Construcción de cuartos dormitorios en el municipio de Tepehuacán de Guerrero","Tepehuacán de Guerrero","Acoyotla, Cahuazas De Morelos (Rancho Alegre), Chilijapa, San Andrés",3437345.39,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",92,NA,"Municipio_1",31235,31235,"acoyotla, cahuazas de morelos (rancho alegre), chilijapa, san andres","Tepehuacán de Guerrero"
1148,13062,"Tepehuacán de Guerrero",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IX Zacualtipán de Ángeles","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2023,"Construcción de 26 cuartos dormitorio en el municipio de Tepehuacán de Guerrero","Tepehuacán de Guerrero","Acoyotla,Chilijapa,Cuatolol,Teyahuala,Xilitla",3940298.5,"1",NA,"CEVI","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",104,NA,"Municipio_1",31235,31235,"acoyotla,chilijapa,cuatolol,teyahuala,xilitla","Tepehuacán de Guerrero"
1163,13062,"Tepehuacán de Guerrero",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IX Zacualtipán de Ángeles","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2022,"Construcción de Cuarto Dormitorio, en el municipio de Tepehuacán de Guerrero","Tepehuacán de Guerrero","Varias",1233110.8,"1",48,"DGCCE","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",NA,NA,"Municipio_1",31235,31235,"varias","Tepehuacán de Guerrero"
1164,13062,"Tepehuacán de Guerrero","2024/C595","2do. Informe JMS","septiembre 2023-agosto 2024","IX Zacualtipán de Ángeles","Caminos revestidos","Infraestructura Carretera","Macrorregión 4. Huejutla",2024,"Rehabilitación de camino de Zacualtipanito a Petlapixca, en el municipio de Tepehuacan de Guerrero.","Tepehuacán de Guerrero","Varias",2806876.46,"0.215",NA,"DGOPI","Cartera SIPDUS 2024",0.083,"Considera los trabajos de preliminares, revestimiento de camino en el municipio de Tepehuacán de Guerrero",2484,NA,"Municipio_1",31235,31235,"varias","Tepehuacán de Guerrero"
1165,13062,"Tepehuacán de Guerrero","2024/C419","3er. Informe JMS","septiembre 2024-agosto 2025","IX Zacualtipán de Ángeles","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Macrorregión 4. Huejutla",2024,"Reconstrucción de la C.E. Casetas Otongo, municipio de Tlanchinol.","Tepehuacán de Guerrero","Varias",7482072.45,"0.92",NA,"DGOPI","Cartera SIPDUS 2024 sin of. de auto.",1.29,"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de Tepehuacán de Guerrero",490,NA,"Municipio_1",31235,31235,"varias","Tepehuacán de Guerrero"
1190,13067,"Tezontepec de Aldama",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","I Tula de Allende","Vivienda Asequible","Vivienda Asequible","Macrorregión 2. Tula",2024,"Construcción de cuartos dormitorios en el municipio de Tezontepec de Aldama","Tezontepec de Aldama","Atengo, Binola, El Chamizal, Huitel, Mangas, San Gabriel, Tezontepec de Aldama",1591074.2,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",48,NA,"Municipio_1",55134,55134,"atengo, binola, el chamizal, huitel, mangas, san gabriel, tezontepec de aldama","Tezontepec de Aldama"
1204,13068,"Tianguistengo",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IX Zacualtipán de Ángeles","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2022,"Construcción de Cuarto Dormitorio, en el municipio de Tianguistengo","Tianguistengo","Varias",1322234.5,"1",52,"DGIVC","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",NA,NA,"Municipio_1",14340,14340,"varias","Tianguistengo"
1205,13068,"Tianguistengo","2024/C741","3er. Informe JMS","septiembre 2024-agosto 2025","IX Zacualtipán de Ángeles","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Macrorregión 4. Huejutla",2024,"Rehabilitación de la carretera Tianguistengo a Pemuxco, municipio de Tianguistengo","Tianguistengo","Varias",35887142.35,"0.31",NA,NA,"Agregadas cartera",3.51,"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de Tianguistengo",2144,NA,"Municipio_1",14340,14340,"varias","Tianguistengo"
1213,13069,"Tizayuca",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","VI Tizayuca","Pozo rehabilitado y equipados","Infraestructura Hídrica","Macrorregión 1. Pachuca",2022,"Inversión de 2.8 mdp en la adquisición de 6 macromedidores para pozos, tanques y cárcamos principales de Matilde y Tizayuca.","Tizayuca","Varias",2831115.94,"1",120960,"CAASIM","OBRAS SEP 2022 - JUNIO 2023 52 MDP CAASIM",NA,"Considera los trabajos para la rehabilitación y equipamiento de pozo el municipio deTizayuca",NA,NA,"Municipio_1",168302,168302,"varias","Tizayuca"
1214,13048,"Pachuca de Soto",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","Cobertura Estatal","Agua potable","Infraestructura Hídrica","Macrorregión 1. Pachuca",2022,"Inversión de 3 mdp en la adquisición de 5 equipos de bombeo de Tizayuca, Téllez y Pachuca.","Pachuca de Soto","Varias",1963442.0748103,"1",NA,"CAASIM","OBRAS SEP 2022 - JUNIO 2023 52 MDP CAASIM",NA,"Considera la adquisición de equipos de bombeo en Tizayuca y Pachuca.",120960,NA,"Municipio_2",314331,482633,"varias","Pachuca de Soto,Tizayuca"
1219,13071,"Tlahuiltepa",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","IX Zacualtipán de Ángeles","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2024,"Construcción de cuartos dormitorios en el municipio de Tlahuiltepa","Tlahuiltepa","Calderones, Cerro Del Águila, El Duraznito, Itztamichapa, Las Manzanas, Lázaro Cárdenas, Palo Perdido, San Marcos",4037183.79,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",108,NA,"Municipio_1",9086,9086,"calderones, cerro del aguila, el duraznito, itztamichapa, las manzanas, lazaro cardenas, palo perdido, san marcos","Tlahuiltepa"
1222,13071,"Tlahuiltepa","2024/A030","2do. Informe JMS","septiembre 2023-agosto 2024","IX Zacualtipán de Ángeles","Caminos Pavimentados","Infraestructura Carretera","Macrorregión 4. Huejutla",2024,"Construye tu camino del tramo Las Manzanas - El Roble, en el municipio de Tlahuiltepa.","Tlahuiltepa","Las Manzanas, El Roble",8900000,"0",NA,"DGCCE","Cartera SIPDUS 2036",1.02,"Considera los trabajos de construcción de huellas de concreto hidráulico y empedrado en la localidad, el cual consta de terracerías y pisos de concreto.",272,NA,"Municipio_1",9086,9086,"las manzanas, el roble","Tlahuiltepa"
1229,13071,"Tlahuiltepa",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IX Zacualtipán de Ángeles","Alcantarillado sanitario","Infraestructura Hídrica","Macrorregión 4. Huejutla",2022,"Construcción de sanitario con biodigestor, en el municipio de Tlahuiltepa","Tlahuiltepa","Varias",830196.66,"1",NA,"SIPDUS","OBRAS SEP 2022 - JUNIO 2023",NA,"Considera los trabajos instalación hidráulica, instalación eléctrica, instalación de biodigestor, acabados y albañilería, excavación de biodigestor.",48,NA,"Municipio_1",9086,9086,"varias","Tlahuiltepa"
1230,13071,"Tlahuiltepa",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IX Zacualtipán de Ángeles","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2022,"Construcción de Cuarto Dormitorio, en el municipio de Tlahuiltepa","Tlahuiltepa","Varias",5205986.57,"1",NA,"DGCCE","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",200,NA,"Municipio_1",9086,9086,"varias","Tlahuiltepa"
1235,13072,"Tlanalapa",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","X Apan","Vialidades Urbanas","Vialidades Urbanas","Macrorregión 3. Tulancingo",2023,"Reconstrucción de calle asfáltica Tlanalapa - Chinconcuac; en el municipio de Tlanalapa","Tlanalapa","Varias",7457271.85,"1",NA,"DGOPI","Innovación a Junio 2024",1.53,"Se realizan los siguientes trabajos: trazo y nivelación de plazas, suministro y aplicación de carpeta asfáltica compactado.",8062,NA,"Municipio_1",11113,11113,"varias","Tlanalapa"
1258,13073,"Tlanchinol",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IV Huejutla de Reyes","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2022,"Construcción de cuarto dormitorio, en el municipio de Tlanchinol","Tlanchinol","Varias",1021537.76,"1",NA,"DGCCE","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",40,NA,"Municipio_1",37722,37722,"varias","Tlanchinol"
1259,13073,"Tlanchinol",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IV Huejutla de Reyes","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2022,"Construcción de Cuarto Dormitorio, en el municipio de Tlanchinol","Tlanchinol","Varias",1976726.78,"1",NA,"DGCCE","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",76,NA,"Municipio_1",37722,37722,"varias","Tlanchinol"
1260,13073,"Tlanchinol","2024/C591","2do. Informe JMS","septiembre 2023-agosto 2024","IV Huejutla de Reyes","Caminos revestidos","Infraestructura Carretera","Macrorregión 4. Huejutla",2024,"Rehabilitación de camino E.C. de Tlanchinol a Apantlazol, tramo Chichatla a Xochititla, del Km 0.000 al Km 10.000, en el municipio de Tlanchinol.","Tlanchinol","Varias",7854223.17,"0.96",NA,"DGCCE","Cartera SIPDUS 2024",0.824,"Considera los trabajos de preliminares, revestimiento de camino en el municipio de Tlanchinol",2048,NA,"Municipio_1",37722,37722,"varias","Tlanchinol"
1261,13073,"Tlanchinol","2024/C603","2do. Informe JMS","septiembre 2023-agosto 2024","IV Huejutla de Reyes","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Macrorregión 4. Huejutla",2024,"Reconstrucción de la C.E. Tlanchinol a Hueyapa a Temango, en el municipio de Tlanchinol","Tlanchinol","Varias",10684193.4,"0.6595",NA,"DGCCE","Cartera SIPDUS 2024",3,"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de Tlanchinol",4323,NA,"Municipio_1",37722,37722,"varias","Tlanchinol"
1279,13076,"Tula de Allende",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","I Tula de Allende","Agua potable","Infraestructura Hídrica","Macrorregión 2. Tula",2022,"Adecuación, puesta en marcha y estabilización de 5 plantas potabilizadoras y 2 desgasificadoras de la región Tula-Tepetitlán (etapa 1 de 3)","Tula de Allende","Varias",5e+06,"1",29390,"CEAA","OBRAS SEP 2022 - JUNIO 2023",NA,"Considera para la adecuación, puesta en marcha y estabilización de plantas potabilizadoras en el municipio de Tula de Allende.",NA,NA,"Municipio_1",115107,115107,"varias","Tula de Allende"
1280,13076,"Tula de Allende",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","I Tula de Allende","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Macrorregión 2. Tula",2023,"Reconstrucción de la C.E. Tula de Allende - Zaragoza; en el municipio de Tula de Allende","Tula de Allende","Varias",29874193.4,"1",NA,"DGCCE","Innovación 2024",5.51,"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de Tula de Allende",16768,NA,"Municipio_1",115107,115107,"varias","Tula de Allende"
1281,13076,"Tula de Allende",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","I Tula de Allende","Vialidades Urbanas","Vialidades Urbanas","Macrorregión 2. Tula",2023,"Reconstrucción de acceso a las col. de Satelite, Violetas, Galaxia I y Galaxia II, en el municipio de Tula de Allende.","Tula de Allende","Varias",13416901.14,"0.4215",NA,"DGCCE","Innovación a Junio 2024",1.86,"Considera trabajos en la rehabilitación y/o mejoramiento de las vialidades urbanas en el muncipio de Tula de Allende",29390,NA,"Municipio_1",115107,115107,"varias","Tula de Allende"
1282,13076,"Tula de Allende","2024/C853","3er. Informe JMS","septiembre 2024-agosto 2025","I Tula de Allende","Espacios Públicos","Espacios Públicos","Macrorregión 2. Tula",2024,"Construcción de puente peatonal El Chamizal, San Marcos - El Carmen, en el municipio de Tula de Allende","Tula de Allende","Varias",8193466.15,"0.408",NA,"DGIVC","Innovación 2024",NA,"Considera trabajos en infraestructura del Espacio Público en el municipio de Tula de Allende.",29390,NA,"Municipio_1",115107,115107,"varias","Tula de Allende"
1285,13005,"Ajacuba",NA,"3er. Informe JMS","septiembre 2024-agosto 2025","I Tula de Allende","Saneamiento","Infraestructura Hídrica","Macrorregión 2. Tula",2024,"Actualización del proyecto ejecutivo para el saneamiento de los Ríos Tula y Salado, primera etapa","Ajacuba","Tula de allende, Atotonilco de Tula, Atitalaquia, Tlaxcoapan, Tlahuelilpan, Ajacuba, Tetepango, Tezontepec de Aldama, Mixquiahuala de Juárez y Progreso de Obregón",499288.123910292,"0.329",0,"CEAA","Añadidas del reporte enero 2025",NA,"Considera los trabajos de actualización del proyecto ejecutivo.",NA,NA,"Municipio_6",18872,413432,"tula de allende, atotonilco de tula, atitalaquia, tlaxcoapan, tlahuelilpan, ajacuba, tetepango, tezontepec de aldama, mixquiahuala de juarez y progreso de obregon","Ajacuba,Atitalaquia,Atotonilco de Tula,Mixquiahuala de Juárez,Progreso de Obregón,Tetepango,Tezontepec de Aldama,Tlahuelilpan,Tlaxcoapan,Tula de Allende"
1305,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Otros (Adquisiciones, compras, pagos, estudios)","Infraestructura Hídrica","Cobertura Estatal",2023,"Indirectos para Supervisión Técnica","Varios","Varias",2793079.4962,"1",NA,"CEAA","Extraordinario de la CEAA",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica.",0,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1306,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Calidad del Agua","Infraestructura Hídrica","Cobertura Estatal",2024,"AHC Hipoclorito de calcio","Varios","Varias",570295.44,"1",NA,"CEAA","Plan de Trabajo CEAA 2024",NA,"Realizar análisis de las características físico-químicas del agua ,con el ﬁn de conocer su calidad, detectar contaminantes presentes en el agua y veriﬁcar que se cumpla con la normatividad vigente para uso y consumo humano. Así mismo, se apoya a los municipios a prevenir el surgimiento de enfermedades por  contaminación del agua.",104634,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1307,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Calidad del Agua","Infraestructura Hídrica","Cobertura Estatal",2024,"ACS Hipoclorito de sodio","Varios","Varias",26963.04,"1",NA,"CEAA","Plan de Trabajo CEAA 2024",NA,"Realizar análisis de las características físico-químicas del agua ,con el ﬁn de conocer su calidad, detectar contaminantes presentes en el agua y veriﬁcar que se cumpla con la normatividad vigente para uso y consumo humano. Así mismo, se apoya a los municipios a prevenir el surgimiento de enfermedades por  contaminación del agua.",104634,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1308,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Calidad del Agua","Infraestructura Hídrica","Cobertura Estatal",2024,"EQ6Ad- Filtro domiciliario","Varios","Varias",1394999.88,"0.9",NA,"CEAA","Plan de Trabajo CEAA 2024",NA,"Realizar análisis de las características físico-químicas del agua ,con el ﬁn de conocer su calidad, detectar contaminantes presentes en el agua y veriﬁcar que se cumpla con la normatividad vigente para uso y consumo humano. Así mismo, se apoya a los municipios a prevenir el surgimiento de enfermedades por  contaminación del agua.",1431,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1309,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Calidad del Agua","Infraestructura Hídrica","Cobertura Estatal",2024,"EQ6Ac- Filtro comunitario","Varios","Varias",1278900,"0.6",NA,"CEAA","Plan de Trabajo CEAA 2024",NA,"Realizar análisis de las características físico-químicas del agua ,con el ﬁn de conocer su calidad, detectar contaminantes presentes en el agua y veriﬁcar que se cumpla con la normatividad vigente para uso y consumo humano. Así mismo, se apoya a los municipios a prevenir el surgimiento de enfermedades por  contaminación del agua.",3941,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1310,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Cultura del Agua","Infraestructura Hídrica","Cobertura Estatal",2024,"Atención Social y Participación Comunitaria","Varios","Varias",1462943.36,"1",NA,"CEAA","Plan de Trabajo CEAA 2024",NA,"Realizar acciones a través de los Espacios de Cultura&#10;del Agua, con la ﬁnalidad de concientizar a la población hidalguense en el cuidado y preservación del vital líquido, así como del pago oportuno del servicio de agua.",135,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1311,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Cultura del Agua","Infraestructura Hídrica","Cobertura Estatal",2024,"Fortalecimiento de Capacidades","Varios","Varias",2e+06,"0.6666",NA,"CEAA","Plan de Trabajo CEAA 2024",NA,"Realizar acciones a través de los Espacios de Cultura&#10;del Agua, con la ﬁnalidad de concientizar a la población hidalguense en el cuidado y preservación del vital líquido, así como del pago oportuno del servicio de agua.",250,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1312,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Cultura del Agua","Infraestructura Hídrica","Cobertura Estatal",2024,"Fortalecimiento de Espacios de Cultura del Agua","Varios","Varias",1914870,"1",NA,"CEAA","Plan de Trabajo CEAA 2024",NA,"Realizar acciones a través de los Espacios de Cultura&#10;del Agua, con la ﬁnalidad de concientizar a la población hidalguense en el cuidado y preservación del vital líquido, así como del pago oportuno del servicio de agua.",72243,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1313,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Cultura del Agua","Infraestructura Hídrica","Cobertura Estatal",2024,"Material Didáctico Inédito de Cultura del Agua","Varios","Varias",781560,"1",NA,"CEAA","Plan de Trabajo CEAA 2024",NA,"Realizar acciones a través de los Espacios de Cultura&#10;del Agua, con la ﬁnalidad de concientizar a la población hidalguense en el cuidado y preservación del vital líquido, así como del pago oportuno del servicio de agua.",50,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1314,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Cultura del Agua","Infraestructura Hídrica","Cobertura Estatal",2024,"Material Didáctico Adquirido de Cultura del Agua","Varios","Varias",1297112,"1",NA,"CEAA","Plan de Trabajo CEAA 2024",NA,"Realizar acciones a través de los Espacios de Cultura&#10;del Agua, con la ﬁnalidad de concientizar a la población hidalguense en el cuidado y preservación del vital líquido, así como del pago oportuno del servicio de agua.",50,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1315,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Calidad del Agua","Infraestructura Hídrica","Cobertura Estatal",2024,"DCA-01 Mobiliario de oficina para el laboratorio de calidad del agua","Varios","Varias",29592.03,"1",NA,"CEAA","Plan de Trabajo CEAA 2024",NA,"Realizar análisis de las características físico-químicas del agua ,con el ﬁn de conocer su calidad, detectar contaminantes presentes en el agua y veriﬁcar que se cumpla con la normatividad vigente para uso y consumo humano. Así mismo, se apoya a los municipios a prevenir el surgimiento de enfermedades por  contaminación del agua.",11,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1316,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Calidad del Agua","Infraestructura Hídrica","Cobertura Estatal",2024,"DCA-02 Bienes informáticos para el laboratorio de calidad del agua","Varios","Varias",98869.07,"1",NA,"CEAA","Plan de Trabajo CEAA 2024",NA,"Realizar análisis de las características físico-químicas del agua ,con el ﬁn de conocer su calidad, detectar contaminantes presentes en el agua y veriﬁcar que se cumpla con la normatividad vigente para uso y consumo humano. Así mismo, se apoya a los municipios a prevenir el surgimiento de enfermedades por  contaminación del agua.",11,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1317,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Calidad del Agua","Infraestructura Hídrica","Cobertura Estatal",2024,"DCA-03 Accesorios y suministros de laboratorio de calidad del agua","Varios","Varias",485948.86,"0.5",NA,"CEAA","Plan de Trabajo CEAA 2024",NA,"Realizar análisis de las características físico-químicas del agua ,con el ﬁn de conocer su calidad, detectar contaminantes presentes en el agua y veriﬁcar que se cumpla con la normatividad vigente para uso y consumo humano. Así mismo, se apoya a los municipios a prevenir el surgimiento de enfermedades por  contaminación del agua.",11,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1318,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Calidad del Agua","Infraestructura Hídrica","Cobertura Estatal",2024,"DCA-04 Sustancias químicas para análisis de calidad del agua (NOM-127-SSA)","Varios","Varias",579123.17,"0.5",NA,"CEAA","Plan de Trabajo CEAA 2024",NA,"Realizar análisis de las características físico-químicas del agua ,con el ﬁn de conocer su calidad, detectar contaminantes presentes en el agua y veriﬁcar que se cumpla con la normatividad vigente para uso y consumo humano. Así mismo, se apoya a los municipios a prevenir el surgimiento de enfermedades por  contaminación del agua.",11,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1319,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Calidad del Agua","Infraestructura Hídrica","Cobertura Estatal",2024,"DCA-05 Otros Equipos especializados para el laboratorio de calidad del agua","Varios","Varias",3532276.86,"0.5",NA,"CEAA","Plan de Trabajo CEAA 2024",NA,"Realizar análisis de las características físico-químicas del agua ,con el ﬁn de conocer su calidad, detectar contaminantes presentes en el agua y veriﬁcar que se cumpla con la normatividad vigente para uso y consumo humano. Así mismo, se apoya a los municipios a prevenir el surgimiento de enfermedades por  contaminación del agua.",11,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1320,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Pozo rehabilitado y equipados","Infraestructura Hídrica","Cobertura Estatal",2023,"Equipamiento para su integración al sistema de telemetría y control para 18 pozos","Varios","Varias",47948613.64,"1",NA,"CAASIM","Extraordinario 2023 CAASIM 303.18 mdp",NA,"Considera los trabajos para la rehabilitación y equipamiento de pozos.",123000,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1321,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Saneamiento","Infraestructura Hídrica","Cobertura Estatal",2023,"Adquisición de equipo hidroneumático de desazolve para la limpieza de alcantarillados por agua a presión y succión","Varios","Varias",18610533.9,"1",NA,"CAASIM","Extraordinario 2023 CAASIM 303.18 mdp",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica",123000,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
1322,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Saneamiento","Infraestructura Hídrica","Macrorregión 1. Pachuca",2023,"Estudio y Plan de Agua y Saneamiento de la CAASIM","Varios","Varias",4848800,"1",NA,"CAASIM","Extraordinario 2023 CAASIM 303.18 mdp",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica",0,NA,"Municipio_1",NA,0,"varias","Cobertura Estatal"
